Date,Notes,Notes_clean,Prediction
03/02/2018 10:42:13,Thread 3 advanced to log sequence 67068 (LGWR switch).Current log# 6 seq# 67068 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_6.260.888832563.Current log# 6 seq# 67068 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_6.260.888832551,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
03/02/2018 06:29:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_57905.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
05/02/2018 17:59:32,Current log# 15 seq# 67365 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_15.271.908034759.Thread 3 advanced to log sequence 67365 (LGWR switch).Current log# 15 seq# 67365 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_15.271.908034747,current tp onlinelog group thread advanced log sequence lgwr switch current tp onlinelog group,LGWR switch
05/02/2018 17:33:11,Archived Log entry 331488 added for thread 3 sequence 67363 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 12:30:05,Some indexes or index [sub]partitions of table INT_OWNER_IL.L_EDW_BB_SPEED_SUMMARY have been marked unusable,indexes index table int owner il l edw bb speed summary marked unusable,Index Unusable
02/02/2018 03:40:05,Archived Log entry 329397 added for thread 3 sequence 66895 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 12:30:07,Some indexes or index [sub]partitions of table INT_OWNER_IL.L_EDW_BB_SPEED_SUMMARY have been marked unusable,indexes index table int owner il l edw bb speed summary marked unusable,Index Unusable
05/02/2018 07:12:35,Archived Log entry 331233 added for thread 3 sequence 67293 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 12:30:01,Some indexes or index [sub]partitions of table INT_OWNER_IL.L_EDW_BB_SPEED_SUMMARY have been marked unusable,indexes index table int owner il l edw bb speed summary marked unusable,Index Unusable
01/02/2018 12:30:00,Some indexes or index [sub]partitions of table INT_OWNER_IL.L_EDW_BB_SPEED_SUMMARY have been marked unusable,indexes index table int owner il l edw bb speed summary marked unusable,Index Unusable
02/02/2018 07:46:56,Archived Log entry 329560 added for thread 3 sequence 66930 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
03/02/2018 06:29:56,Current log# 10 seq# 31127 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739.Current log# 10 seq# 31127 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753.Archived Log entry 182476 added for thread 3 sequence 31126 ID 0x6d02838d dest 1:.Thread 3 advanced to log sequence 31127 (LGWR switch),current merlp tp onlinelog group current merlp tp onlinelog group archived log entry added thread sequence id dest thread advanced log sequence lgwr switch,LGWR switch
04/02/2018 12:49:55,SYS_STSOLBJE3M01CSY_CH77DH35HI.of [sub]partition P20180201 of table W_DAILY_MC_CHNL_USAGE.Deleted statistics for column:,sys table w daily mc chnl usage deleted statistics column,MARK
01/02/2018 11:06:55,Archived Log entry 329027 added for thread 3 sequence 66812 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 03:56:08,Archived Log entry 328799 added for thread 3 sequence 66762 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 18:49:26,Thread 3 advanced to log sequence 67238 (LGWR switch).Current log# 16 seq# 67238 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Current log# 16 seq# 67238 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
03/02/2018 23:15:04,KSFV I/O slave I601 dp=0x8a86f3a0 exiting,ksfv slave exiting,KSFV
01/02/2018 22:21:45,"Auto-tuning: Starting background process GTX1.Starting background process GTX1.GTX1 started with pid=568, OS id=6773",auto tuning starting background process starting background process started os,Background Process
03/02/2018 05:59:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_94240.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 03:56:01,Current log# 5 seq# 66763 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_5.259.888832539.Current log# 5 seq# 66763 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_5.259.888832527.Thread 3 advanced to log sequence 66763 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
04/02/2018 06:10:44,Thread 3 advanced to log sequence 67148 (LGWR switch).Current log# 6 seq# 67148 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_6.260.888832563.Current log# 6 seq# 67148 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_6.260.888832551,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
05/02/2018 23:14:15,Archived Log entry 183715 added for thread 3 sequence 31337 ID 0x6d02838d dest 1:.Current log# 9 seq# 31338 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711.Thread 3 advanced to log sequence 31338 (LGWR switch).Current log# 9 seq# 31338 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727,archived log entry added thread sequence id dest current merlp tp onlinelog group thread advanced log sequence lgwr switch current merlp tp onlinelog group,LGWR switch
02/02/2018 16:08:12,"SYS_STSR6MCJVO0K5T9K8C1FWRVE#$,.SYS_STSER9PXY6YGV$TEBP5CI80B#J,.SYS_STSROS6XI0L#ZYCV4CZF#UIJT6,.SYS_STSRIX9E23LK2#SO8$$_G5LRHS,.SYS_STSAO579DEADG78FW8_JSCHPZW,.SYS_STSQBFGL98FV8F7TOLQMID4PDT,.SYS_STS9LFWWPRSFJ203FTR6T9DLCX.of [sub]partition P20180116 of table F_MOBILE_USAGE_DLY_AGG_DETAIL.Deleted statistics for columns:.SYS_STS2VRTQ5#PD_U4O35DQWK#UJX,.SYS_STSMH#OC7$L96BQM3JHJTA1UGX.of [sub]partition P20180116 of table F_DLY_MOB_USAGE_AGG_SUM.SYS_STSNXL4XISA667#M$C7DFAXU8M,.SYS_STSELR_3R1K36P5RUJT410U39W,.SYS_STS07MUCQFD8_H7RV82G2XO9UW,.SYS_STSE4DKMJURUE17BX16XNTYPML,.SYS_STSZN6AH8OA_F3I3I95VEAD7JF,.SYS_STSM0CETZNHRLBN2OT1URO$$U$,.SYS_STS6O$7V#8WOI$CN5$_9ZUOL$1,.SYS_STS5N4X$97KYREX2D0CTXWJVEF,.SYS_STSE_SL87P6H9AMLSVTMKO7GJQ,.SYS_STS_FS0F_SOOPAP4XPB56496H9,.SYS_STSXPTR_BUQKNL7RGJXDT9Y#1I,.SYS_STSZZ97TJMAO$MVYA9Q$K8WKRP,.SYS_STSF5Z0TO1NTUGVOVC4BYQU06M,.Deleted statistics for columns:",sys sys sys sys sys sys sys table f mobile usage dly agg detail deleted statistics columns sys sys table f dly mob usage agg sum sys sys stselr sys sys sys sys sys sys sys stse sys sts sys stsxptr sys sys deleted statistics columns,Partition
02/02/2018 16:08:13,Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_USG_TYPE or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_PROM_KEY or some [sub]partitions of the index have been marked unusable,index con dm uw mob stg idx w dly agg det usg type index marked unusable index con dm uw mob stg idx w dly agg det prom key index marked unusable,Index Unusable
03/02/2018 01:35:57,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_14020.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
04/02/2018 07:58:50,Archived Log entry 330670 added for thread 3 sequence 67169 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 09:08:12,"Deleted statistics for columns:.SYS_STS20GAYNJH_7YFB9C31M#O9YB,.SYS_STSR8SLJJPUUDSHW2$CAJ2VEXH,.of [sub]partition P_ST of table H_EDW_PROPENSITY_MASTER.SYS_STSR8NCH1JIGSTAU2QF0NIVYKI,.SYS_STSI9B_7891$G$2B8DU923HP3M.SYS_STSER286VML3MV2XPDS50_QE8X,",deleted statistics columns sys sys p st table h edw propensity master sys sys sys,Partition
01/02/2018 17:26:48,Running KSFV I/O slave I801 os pid=13970,running ksfv slave os,KSFV
04/02/2018 07:55:36,Thread 3 advanced to log sequence 67170 (LGWR switch).Current log# 16 seq# 67170 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Current log# 16 seq# 67170 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
04/02/2018 10:09:21,"Resize operation completed for file# 2791, old size 17408000K, new size 18432000K",resize operation completed old size new size,Resize Operation
06/02/2018 00:12:35,Archived Log entry 331642 added for thread 3 sequence 67394 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 02:28:16,Current log# 16 seq# 66890 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Current log# 16 seq# 66890 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819.Thread 3 advanced to log sequence 66890 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
02/02/2018 17:19:57,"SMON: Failed to acquire SEG2, skipping transaction 772.67.380682",smon failed acquire skipping transaction,Instance Recovery
02/02/2018 09:31:20,Running KSFV I/O slave Ic01 os pid=1119,running ksfv slave os,KSFV
03/02/2018 22:35:59,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_50077.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
06/02/2018 02:14:34,Running KSFV I/O slave I601 os pid=40182,running ksfv slave os,KSFV
02/02/2018 23:16:37,Archived Log entry 182235 added for thread 3 sequence 31089 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 23:16:36,Current log# 9 seq# 31090 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711.Current log# 9 seq# 31090 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727.Thread 3 advanced to log sequence 31090 (LGWR switch),current merlp tp onlinelog group current merlp tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
05/02/2018 14:51:07,Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_USG_TYPE or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_PROM_KEY or some [sub]partitions of the index have been marked unusable.05/02/2018 14:54:19.***********************************************************************,index con dm uw mob stg idx w dly agg det usg type index marked unusable index con dm uw mob stg idx w dly agg det prom key index marked unusable,Index Unusable
04/02/2018 13:13:03,Thread 3 advanced to log sequence 31254 (LGWR switch).Current log# 9 seq# 31254 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711.Current log# 9 seq# 31254 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727.Archived Log entry 183261 added for thread 3 sequence 31253 ID 0x6d02838d dest 1:,thread advanced log sequence lgwr switch current merlp tp onlinelog group current merlp tp onlinelog group archived log entry added thread sequence id dest,LGWR switch
02/02/2018 18:21:33,"SYS_STSE4DKMJURUE17BX16XNTYPML,.SYS_STSZN6AH8OA_F3I3I95VEAD7JF,.SYS_STSELR_3R1K36P5RUJT410U39W,.SYS_STSER9PXY6YGV$TEBP5CI80B#J,.SYS_STSR6MCJVO0K5T9K8C1FWRVE#$,.SYS_STSNXL4XISA667#M$C7DFAXU8M,.SYS_STSROS6XI0L#ZYCV4CZF#UIJT6,.SYS_STSRIX9E23LK2#SO8$$_G5LRHS,.SYS_STSAO579DEADG78FW8_JSCHPZW,.SYS_STSQBFGL98FV8F7TOLQMID4PDT,.SYS_STS9LFWWPRSFJ203FTR6T9DLCX.of [sub]partition P20180126 of table F_MOBILE_USAGE_DLY_AGG_DETAIL.SYS_STS07MUCQFD8_H7RV82G2XO9UW,.SYS_STSM0CETZNHRLBN2OT1URO$$U$,.SYS_STS6O$7V#8WOI$CN5$_9ZUOL$1,.SYS_STS5N4X$97KYREX2D0CTXWJVEF,.SYS_STSE_SL87P6H9AMLSVTMKO7GJQ,.SYS_STS_FS0F_SOOPAP4XPB56496H9,.Deleted statistics for columns:.SYS_STSF5Z0TO1NTUGVOVC4BYQU06M,.SYS_STSZZ97TJMAO$MVYA9Q$K8WKRP,.SYS_STSXPTR_BUQKNL7RGJXDT9Y#1I,",sys sys sys stselr sys sys sys sys sys sys sys sys table f mobile usage dly agg detail sys sys sys sys sys stse sys sts deleted statistics columns sys sys sys stsxptr,Partition
04/02/2018 23:20:40,Archived Log entry 331013 added for thread 3 sequence 67249 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 08:37:12,Archived Log entry 331309 added for thread 3 sequence 67315 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 18:21:34,"of [sub]partition P20180126 of table F_DLY_MOB_USAGE_AGG_SUM.SYS_STSMH#OC7$L96BQM3JHJTA1UGX.SYS_STS2VRTQ5#PD_U4O35DQWK#UJX,.Deleted statistics for columns:",table f dly mob usage agg sum sys sys deleted statistics columns,MARK
04/02/2018 22:27:01,Archived Log entry 331007 added for thread 3 sequence 67247 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
03/02/2018 16:16:59,KSFV I/O slave I601 dp=0x8a86f3a0 exiting,ksfv slave exiting,KSFV
03/02/2018 11:46:12,"SYS_STSGSFTL3YUUZJF40WJOCDRX7M,.SYS_STSXZ28OLGZ892SFL$#U$IQP8G,.SYS_STSSSYR4UHUB$35R4JA3CDEZCF.of [sub]partition P20180201 of table DM_MC_PROGRAMME_SCHEDULE.Deleted statistics for columns:",sys sys sys table dm mc programme schedule deleted statistics columns,Partition
03/02/2018 11:46:13,"of [sub]partition P20180202 of table DM_MC_PROGRAMME_SCHEDULE.SYS_STSSSYR4UHUB$35R4JA3CDEZCF.SYS_STSGSFTL3YUUZJF40WJOCDRX7M,.SYS_STSXZ28OLGZ892SFL$#U$IQP8G,.Deleted statistics for columns:",table dm mc programme schedule sys sys sys deleted statistics columns,Partition
03/02/2018 11:46:10,"SYS_STSXZ28OLGZ892SFL$#U$IQP8G,.SYS_STSGSFTL3YUUZJF40WJOCDRX7M,.Deleted statistics for columns:.of [sub]partition P20180130 of table DM_MC_PROGRAMME_SCHEDULE.SYS_STSSSYR4UHUB$35R4JA3CDEZCF",sys sys deleted statistics columns table dm mc programme schedule sys,Partition
03/02/2018 11:46:11,"SYS_STSGSFTL3YUUZJF40WJOCDRX7M,.SYS_STSXZ28OLGZ892SFL$#U$IQP8G,.SYS_STSSSYR4UHUB$35R4JA3CDEZCF.of [sub]partition P20180131 of table DM_MC_PROGRAMME_SCHEDULE.Deleted statistics for columns:",sys sys sys table dm mc programme schedule deleted statistics columns,Partition
03/02/2018 11:46:16,"of [sub]partition PMAX of table DM_MC_MEDIA_CHANNEL.SYS_STSQ1DZ6DYDPEEH2M1WYHY50LI.SYS_STS#DKU7HVDOHZY0OBHHBXEYH$,.Deleted statistics for columns:.SYS_STS5ZLTNUC3QN#0TB4WIF#3JU4,",pmax table dm mc media channel sys sys deleted statistics columns sys,Partition
03/02/2018 11:46:14,"SYS_STSXZ28OLGZ892SFL$#U$IQP8G,.Deleted statistics for columns:.SYS_STSGSFTL3YUUZJF40WJOCDRX7M,.SYS_STSSSYR4UHUB$35R4JA3CDEZCF.of [sub]partition P20180203 of table DM_MC_PROGRAMME_SCHEDULE",sys deleted statistics columns sys sys table dm mc programme schedule,Partition
02/02/2018 13:58:12,Archived Log entry 329708 added for thread 3 sequence 66965 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 19:15:01,"Errors in file /dborafiles/admin/diag/rdbms/edw01_tp/edw01t3/trace/edw01t3_j000_26902.trc:.ORA-12012: error on auto execute of job ""LOG_UTIL"".""LU_PARTITION_MGMT_J"".ORA-06553: PLS-307: too many declarations of 'CYCLE_PARTITIONS' match this call.02/02/2018 19:18:00",errors file dborafiles admin diag rdbms tp trace trc ora error auto execute job log util lu partition mgmt j ora pls many declarations match call,Errors in file
05/02/2018 13:10:24,Running KSFV I/O slave I901 os pid=82480,running ksfv slave os,KSFV
06/02/2018 01:32:09,Current log# 16 seq# 67402 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Thread 3 advanced to log sequence 67402 (LGWR switch).Current log# 16 seq# 67402 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819,current tp onlinelog group thread advanced log sequence lgwr switch current tp onlinelog group,LGWR switch
01/02/2018 12:09:08,Thread 3 advanced to log sequence 66821 (LGWR switch).Current log# 15 seq# 66821 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_15.271.908034747.Current log# 15 seq# 66821 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_15.271.908034759,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
05/02/2018 13:10:22,KSFV I/O slave I901 dp=0x1db2d9d7b8 exiting,ksfv slave exiting,KSFV
05/02/2018 12:12:09,"SYS_STSEB8YDQ$5ZXEUFA$_LDW#OPI.SYS_STSN0DD9SWM4SOOACSQF0WO71Z,.SYS_STSY#INSH$S3AOA64T3DO$GDGP,.SYS_STSQV9EDIOJFXD1PKDG8Y1VPUT,.Deleted statistics for columns:.SYS_STSS88RQ56_GZACMW2U4U5PNHT,.of [sub]partition P20180202 of table F_DAILY_MC_CHNL_VIEW",sys sys sys sys deleted statistics columns sys table f daily mc chnl view,Partition
03/02/2018 09:47:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_12126.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 12:54:11,Archived Log entry 329078 added for thread 3 sequence 66827 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 23:52:05,Archived Log entry 331634 added for thread 3 sequence 67393 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 23:52:04,Current log# 16 seq# 67394 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819.Current log# 16 seq# 67394 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Thread 3 advanced to log sequence 67394 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
01/02/2018 12:46:42,Current log# 5 seq# 66827 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_5.259.888832527.Current log# 5 seq# 66827 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_5.259.888832539.Thread 3 advanced to log sequence 66827 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
05/02/2018 07:53:40,Current log# 15 seq# 67305 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_15.271.908034759.Current log# 15 seq# 67305 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_15.271.908034747.Thread 3 advanced to log sequence 67305 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
05/02/2018 06:39:31,Archived Log entry 331215 added for thread 3 sequence 67288 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 01:47:26,Thread 3 advanced to log sequence 67262 (LGWR switch).Current log# 16 seq# 67262 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Current log# 16 seq# 67262 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
03/02/2018 14:38:48,Current log# 6 seq# 67092 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_6.260.888832551.Current log# 6 seq# 67092 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_6.260.888832563.Thread 3 advanced to log sequence 67092 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
05/02/2018 18:15:44,KSFV I/O slave I601 dp=0x831f03b8 exiting,ksfv slave exiting,KSFV
01/02/2018 16:27:59,Thread 3 advanced to log sequence 66851 (LGWR switch).Current log# 5 seq# 66851 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_5.259.888832527.Current log# 5 seq# 66851 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_5.259.888832539,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
01/02/2018 21:26:16,Running KSFV I/O slave I801 os pid=19888,running ksfv slave os,KSFV
04/02/2018 06:57:00,"Deleted statistics for columns:.SYS_STS20GAYNJH_7YFB9C31M#O9YB,.SYS_STSR8SLJJPUUDSHW2$CAJ2VEXH,.of [sub]partition P_SI of table H_EDW_PROPENSITY_MASTER.SYS_STSR8NCH1JIGSTAU2QF0NIVYKI,.SYS_STSI9B_7891$G$2B8DU923HP3M.SYS_STSER286VML3MV2XPDS50_QE8X,",deleted statistics columns sys sys p si table h edw propensity master sys sys sys,Partition
05/02/2018 04:59:04,Client address: (ADDRESS=(PROTOCOL=tcp)(HOST=10.111.99.91)(PORT=61022)).05/02/2018 04:59:04.VERSION INFORMATION:.TNS for Linux: Version 12.1.0.2.0 - Production.Oracle Bequeath NT Protocol Adapter for Linux: Version 12.1.0.2.0 - Production.TCP/IP NT Protocol Adapter for Linux: Version 12.1.0.2.0 - Production.Time: 05-FEB-2018 04:59:04.Tracing not turned on..Tns error struct:.ns main err code: 12535.05/02/2018 04:59:04.TNS-12535: TNS:operation timed out.ns secondary err code: 12560.nt main err code: 505.05/02/2018 04:59:04.TNS-00505: Operation timed out.nt secondary err code: 110.nt OS err code: 0.05/02/2018 04:59:04.Fatal NI connect error 12170.,client address address protocoltcp version information tns linux version production oracle bequeath nt protocol adapter linux version production tcp ip nt protocol adapter linux version production time feb tracing turned tns error struct ns main err code tns tns operation timed ns secondary err code nt main err code tns operation timed nt secondary err code nt os err code fatal ni connect error,Fatal NI
04/02/2018 17:12:00,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_77762.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
04/02/2018 05:18:57,Some indexes or index [sub]partitions of table DM_OWNER_STR_2_DL.F_LIVE_ASST_CNT_UKB_SPBE_WKLY have been marked unusable,indexes index table dm owner str dl f live asst cnt ukb spbe wkly marked unusable,Index Unusable
04/02/2018 10:51:07,Archived Log entry 330751 added for thread 3 sequence 67190 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
03/02/2018 13:12:19,Running KSFV I/O slave I601 os pid=92270,running ksfv slave os,KSFV
01/02/2018 06:31:15,Current log# 10 seq# 30983 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753.Archived Log entry 181645 added for thread 3 sequence 30982 ID 0x6d02838d dest 1:.Thread 3 advanced to log sequence 30983 (LGWR switch).Current log# 10 seq# 30983 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739,current merlp tp onlinelog group archived log entry added thread sequence id dest thread advanced log sequence lgwr switch current merlp tp onlinelog group,LGWR switch
02/02/2018 03:46:18,opidcl aborting process unknown ospid (42249) as a result of ORA-2396,opidcl aborting process unknown ospid result ora,Aborting Process
03/02/2018 19:35:00,Archived Log entry 182887 added for thread 3 sequence 31191 ID 0x6d02838d dest 1:.Current log# 11 seq# 31192 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_11.267.929538767.Thread 3 advanced to log sequence 31192 (LGWR switch).Current log# 11 seq# 31192 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_11.267.929538781,archived log entry added thread sequence id dest current merlp tp onlinelog group thread advanced log sequence lgwr switch current merlp tp onlinelog group,LGWR switch
02/02/2018 15:23:13,Current log# 5 seq# 66971 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_5.259.888832539.Current log# 5 seq# 66971 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_5.259.888832527.Thread 3 advanced to log sequence 66971 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
06/02/2018 04:24:58,Running KSFV I/O slave Ia01 os pid=33551,running ksfv slave os,KSFV
02/02/2018 01:18:23,Time: 02-FEB-2018 01:18:23.Tracing not turned on..Tns error struct:.ns main err code: 12535.02/02/2018 01:18:23.TNS-12535: TNS:operation timed out.ns secondary err code: 12560.nt main err code: 505.02/02/2018 01:18:23.TNS-00505: Operation timed out.nt secondary err code: 110.nt OS err code: 0.Client address: (ADDRESS=(PROTOCOL=tcp)(HOST=10.111.48.192)(PORT=59346)),time feb tracing turned tns error struct ns main err code tns tns operation timed ns secondary err code nt main err code tns operation timed nt secondary err code nt os err code client address address protocoltcp,Fatal NI
