"","text","emotion","polarity"
"179","i checked my temp monitor whcih also tells me my current processor info etc and i noticed skype was causing intel turbo booster to run which was spiking my cpu usage randomly excessively high in spikes in the task manager as mu cpu was running at  mhz i have an intel i k mhz  turbo booster is a built in fuction that safely overclocks it on auto in small bursts and within temp limts to increase preformancenbsp i do not overclock for gaming this is just a built in feature with the high end intel cpus and would be the only reason to see the high mhz levels occuring nbsptbh the booster should only occur with gaming or what not why the hell would skype require so much memory that it activates the booster and keeps it activated tnbsp glitchyi turned off the intel turbo boost as a test and now my cpu is mhz across the boardnbsp my core temps are the same tho as the spiking before was not increasing temps or anything as i said it is meant to do it within safe limitsso far no more whealogger event  errors or memory spikesnbsp ill keep you postednbspnbspnbsp","anger","neutral"
"180","nbspa few months ago i didnt quit skype for a week so when i did there were a lot of messages to save however my whole laptop was lagging really bad not because of skype and i ended up having to force shut down my laptopnbspwhen i went back on all of the messagesnbspthat were created during the week were gone though after a while all of the oneonone messages i rereceived but thenbspones in the group conversationsnbspnever came backever since then when i quit skype and log back on occasionally the messages created since the last time i quit wouldnt save id eventually get the oneonone messages back by quitting and reopening skype again repeatedly andnbspid delete everything skype related except for my maindb and reinstall skypenbsptonbspget the group conversation messages this occursnbspoften and it gets annoying doing this same process over again whenever this happensnbspis there something wrong with my maindb since deleting everything else doesnt seem to work is there a way to solve this problemi have mac  lion and skype  and the save chat history option is set to forever","sadness","negative"
"183","running windows  all drivers are up to date all registry files are cleanreinstalled multiple times to different locations problem still persistsskype runs fine normally but every minutes it crashes withnbspproblem signatureproblem event name appcrashapplication name skypeexeapplication version application timestamp bcfault module name avmcdevicecontroldllunloadedfault module version fault module timestamp dbaexception code caexception offset aos version locale id additional information  faadditional information  fadebfdabfceaadditional information  faadditional information  fadebfdabfceanbspand after confirming to kill the app i get a bex errornbspproblem signatureproblem event name bexapplication name skypeexeapplication version application timestamp bcfault module name avmcdevicecontroldllunloadedfault module version fault module timestamp dbaexception offset exception code cexception dataampcolon os version locale id additional information  ffadditional information  ffaadacdbadditional information  baadditional information  baedcfeddaafenbspany help at all would be appreciated                                                                                                                  solved                          go to solution","joy","negative"
"184","will investigate this as an option but i suspect that when the older working versions of skype are retired unless some one finds a way to fool the skype servers in to thinking that were running the new version all older versions that are working for us will be disabled leaving us with only the new and improved unuseable ui that is the new skypenbspthe bigest insult is the sugger coated sappy web sites talking about why were forced to update and that the new versions are better etc etc etc nbsp if thousands of people are screaming their digital heads off about the changes then something doesnt quite fitnbspi had a bad feeling when ms took over skype nbspi knew it was only a mater of time before something got messed up nbspthey have been known in the past for creating user interfaces that have caused many of their userbase to pull out their hair and even though it shouldnt be that dificult for a company the size of ms to include options even if theyre hidden in the back ground to most of their usersnbspbetween windows  with the cell phone  tablet interface forced on pc users and thenbspmind numbing blinding ui for microsoft office  and outlook nbspnbsppeople had been screaming in the forums about how bad the ui was for outlook and office with nothing done nbsppeople with eye strain and headakes in the corporate world which is supposed to be mss main userbase were livid nbsp nbspit looks as though finaly after  years of complaning ms is going to be fixing win  and adding new ui options to ms officeoutlook in the  version nbspi guess sadly well just have to wait  or so years for some one at msskype to pull their heads up from where ever they are and look around and notice the concerns and voices of their users who are participating in the comunity to leave feed back nbspso i guess ill be able to start using skype again or at least be happy with the look of it some time in  nbsp crossing fingers and toes","joy","negative"
"187","hinbspi was just about to ask how i can make my bloated skype on windows that uses  of my  ultrabook screen look like my skype on linux which is the best setup ever and i hope it never changes then i came across this thread mind you  now there are at least  configuration changes  in order to achieve something i thought this was just a communicator now you need to be  year old computer nerd to achieve something  year old will just be losti guess those are the poor people targeted to make money by mr balmer who never had a clue as to what technology should look likenbspi hope my opinion will count when the skype team decides which route to go whith the now stupid interface that is showing imotcons the size of uk p couns where text has become almost invisblenbspthe compact view should the default if somebody wants skype to look like rocket ship console let him do the work with customizing my worry is that skype for linux is also changing and going the same stupid idea i need  opened windows and  notifiers when i am making a call to someone yet my skype credit are not seens when i am in a call how made that change anyway and what was he thinkingnbspbest regardsrichlionnbspnbspnbsp                                                                                                            attachments                                                                            snapshotpng  kb                                                                                        snapshotpng  kb","joy","negative"
"191","there are two typesnbspnbspapplication hangnbspnbspthe program skypeexe version  stopped interacting with windows and was closed to see if more information about the problem is available check the problem history in the action center control panelprocess id ecstart time dcctermination time application path cprogram files xskypephoneskypeexereport id afaeffeaadnbspnbspand also application errornbspfaulting application name skypeexe version  time stamp xbcfaulting module name ntdlldll version  time stamp xcebaexception code xcfault offset xefaulting process id xfcfaulting application start time xdccfadafaulting application path cprogram files xskypephoneskypeexefaulting module path cwindowssyswowntdlldllreport id afadeeabadnbspnbspim guessing its application hang because it only crashnot responds when i click callnbspnbspit turns grey like this and crashesnbsp like thisnbspnbspbut if itnbspsuccessfully goes to the screen with the blue background it then works fine","sadness","neutral"
"196","help pleasenbsp i havenbspunlimited world and  credit on my accountnbsptrying to acctivate skype  but every payment to activate a skype number gets canceled immediately by skype not my bank cancelingi have tried paying  timespaid by paypal bank checking cancelednbsp two different visascanceled immediately customer service chats yeild no resolutionnbsp i was promised a call from cs chat yesterday no callnbspnbspnbsp cs chat told menbspto wait  hours and try again clear my cookies and temp files try a different card ive done it allthe only thing i can think of isnbspi initally bought us plan then the next day decided to upgrad to unlimited worldnbsp since those plans overlap i asked for cancel of the us plannbsp i want the better plannbsp that credit has not come back and itnbspis beyond  daysnbspnbspmy account seems lockednbspto that refund and all purchasesnbspnbspi need my business customers to have a number they can call me atnbspskype numbers added to my unlimited world active subscritionnbsp im trying to switch from linenbspto skype nbspnbspdoes anyone know why im having this problemnbspor can help me communicate to the cs reps in chatnbspnbsp this is so frustrating nbsp","anger","neutral"
"198","thank you ruwim but i cant see anything new in those links yes the hauppauge driver causes the skype crash that doesnt explain why skype  and all earlier versions work perfectly fine with that very same driver the suggestion to removedisable the driver thus disabling the device is illogical im sure you can see why this makes more sense skype  versions cause the crashnbsphauppauge adds several drivers to my system the one causing the crash is the one highlighted hauppauge wintv x video hybrid dvbtsir they are the ones offerred for my device by hauppauge herenbspnbspi properly uninstalled and deleted them and let windows install their own drivers it seems it installs the same versions and crash remains something ive never seen before after cleaning the hauppauge drivers upon restart when windows installs its own i get an unsigned warning attached on a hauppauge audio drivernbspnbspso is the problem with these old hauppauge drivers that need to be fixedsignedupdated by hauppauge even though they work with skype  or is the problem with skype  and newer and microsoft doesnt seem to bother fixing because these drivers are old please advise thank younbspthere are no hauppauge applications installed here just the drivers for the pci device                                                                                                            attachments                                                                        hauppauge devicesjpg  kb","anger","neutral"
"206","hi call forwarding from skype is great i use the service so that my customers can call my online number havenbspthe callnbspforward to my local mobile of whichever country i am in as i travel allot the fees i have to pay are fair per minute when receiving calls are fair and i get anbspclear connection this way plus inbspappear tonbspbenbspat a london location as my online number is a london code nbspbut i have a serious problem that is potentially losing me money and clientsnbspbecause ofnbspmissed callslack ofnbspservice below i shall explain and i hope someone can provide a solutionnbspi log in via different computersdevices maybe from my laptop maybe from my mobile ornbspmaybe from an internet shop prior to logging off i always set call forwarding tonbspa localnbspmobile with a delay of  seconds as i find no difference whether i set  seconds or  secondsthe problem is thatnbspthe next timenbspi log on via a different computerdevice and take a look at my call forwarding options i find that it has automatically changed to a delay of  secondswithin  seconds any callers would have likely hung up and be infuriated as i am not providingnbspthe service inbspoffernbspwhats up with this please help me fix this                                                                                                                  solved                          go to solution","joy","negative"
"208","hinbspsorry for reposting the ageold question but i was wondering if anyone is aware if skype policies have changed regarding this old question according to the older forum posts about a year or two old if someone deletes you from skype there are differing opinions as to whether or not you can see the contact online or not skype wont let me link the old forum post so youll have to google itnbsphowever the tests i ran using a dud skype account show that if i delete myself the resend contact request button appears it seems to clearly show that i deleted a contact if i block a contact then the contact only appears offline the first part seems to contradict what the older forum posts claim and i was wondering if this skype behavior has changed does it matter if the contacts are connected to the same supernode im also doing this on a pc so does the behavior change if my contact using the mac or mobile versionnbspnbspin the end my question is in regards to a specific contact which i have been wondering if that person deleted me from their contact list what is the privacy setting for mood messages if i can see the contacts mood message does that mean they have not deleted me i know it says contacts only for mood message under privacy but i dont know if that means current contacts or those who have been authorized as contactsnbspthanks                                                                                                                   solved                          go to solution","anger","negative"
"210","after some time of inactivity skype goes offline without any notification to me skype status changes from invisible to offline but i am not logged offas a result i am not getting incomming messages until i notice that skype is offline and change it back to invisibleany suggestion how to stop this unwanted behaviornbspalsoi have contacted  times text chat support about this issuethe first manager suggested that i reinstall skype and assured me that this will solve the problemthe second manager suggested that i delete appdataskype folder lost my history and assured me that this will solve the problemthe third manager suggested that i delete appdataskypeltaccountgtconfigxml file and assured me that this will solve the problem i objected that i have already tried to delete the whole appdataskype folder and it did not help so how can deleting one file in appdataskype folder help however it seems to be beyond the managers understandingthe furth manager suggested that i reinstall skype again and that i send remotelogout command he assured me that this will surely help though did not explain hownow the question how can i get qualified supportnbspalsois it possible that somebody logs into my account from other place and this switches my skype to offlineshould i see some notification if somebody does this","sadness","neutral"
"215","skype cannot be taken seriously until it acts like a proper phonenbsp i have other voip solutions like line and they do not behave like thisnbspthe problem i am experiencing is one that many people have asked on these forums most of the time they are left hanging with no answer at other times some daft suggestion is givennbspit a simple enough thing i mean if you are on the phone you do not want to be cut off and if someone calls you then you want to be able to answer the phone rightnbsp i knownbspso a friend of mine got me to call them on skype but every time they get a call on their iphone i get cut offnbsp after seeing many unanswered threads archives i finally saw one with a really dumb solution it said you should put do not disturb on your phone as if you should have to remember to do that every time you get a callnbsp lets face it most of your family and friends will have the exception on do not disturb anywaynbspso if skype wants to be taken seriously it needs to be a peer app i mean if i am on the phone i am on the phone i do not want skype to cut people off without warning i want it to give me the choice either i decide to reject the call or i put my current call on holdnbspthis is just normal behaviour and it is hard to believe that skype has been around this long and still has not figured this outnbspso after bitching here i am going to uninsall skype and vote with my feet i will persuade my friends who want to talk on skype to use whatsapp or line or anything elsenbspno more excuses and please do not archive this until you have a proper solution one that allows the user to decide whether to take an incoming callnbspthe other problem is that skype does not tell you that you have an incoming call i know who could believe it a phone app that does not ringnbspnbspyes it is true apparantly this is the solutionnbspto make skype tell you that you have an incoming callnbspyou need to go into the notifications in the phones settingsmake sure skype is in the notification centerthen enable an alert style  a banner across the top of the displayor a larger alert in the middle of the screenand turn on the badge app icon sounds and view in lock screennbsphow dumb is that it is a phone app it should be set to ring or not to ring it is that simple notifications are for text messages and that is where they should be usednbspplease do not blame apple for this nonsense grow a pair write a proper app and make it work as your competitors apps donbspend of rantnbspnbspnbspnbspnbsp","joy","negative"
"216","hinbspif you work for microsoft or any related entity and have any power even the slightest to influence the future changes of skype please jump straight to the last paragraph of this message marked by the letters ps thank younbspas everyone knows skype updates have recently been horrible using this software is quickly becoming infernal to the point that im actively trying to convince my friends to go on another better program thats easy to find however it is very hard to change custom so for now i have to adapt to the sad reality of microsoftnbspanyway should i accept updating from  to the last version lets add im using windows  im not sure of which is the last version of skype  i believe but im unsure if i should download it or not does it make things worse or better please fellow users of skype tell me about your experiences what modifications did you see i want to hear about the positives and the negativesnbspthank you already to everyonenbspps the many problems from which skype users currently suffer includetoo much space wasted by the user interface for example by the speech bubblestoo childish and colorful user interface notably because of the speech bubblescounterintuitive interface for example because of the inability to show the current time of the person youre talking to on the chat window itself but also for other reasonsbad performances of the application which is loading slowlier than before probably because of its uselessly heavy user interfaceinability to send symbols like   and  without typing a complicated command before theminability to permanently and easily prevent these symbols from changing the rest of the text for example to bold or italictoo invasive publicity addsforced updates of the application even when the user specificies in the options that she doesnt want any updatecurrently none of these problems can be easily and permanently adressed by the user while they mainly come from new features that should be optionalthis list is not exhaustiveplease if you have the means do everything in your power to address these problems which absolutely requires skypes developers to come back on several of their past decisionsthank you very much                                                                                                                  solved                          go to solution","joy","negative"
"217","hiquestionis there a temporary file on the server in my skype accout i mean an obsolete file that should have been deleted at the end of one of the skype sessions and if yes then is this file causing me problems calling certain overseas numbersthe problemi noticed today that i cant call certain mobile numbers of abroad operators and phones are physically located abroad instead of an intermittent signal i hear voice message the number you selected is incorrect please review and try again or something like thisinterestingly not sure if related that when i tried to call those two mob numbers from a landline i had the same resultstarted googlind and found skype chat comands something happens when you enter them into a chat window  of those comandsshowplacesdisplays all instances of skype currently logged into an accountshowplaces  you have  online endpoints  abcdefghijklmnopqrstuvwxyzabcdef mypc linux skype  faaafxxxxbcbeyyyyzzzzzzzzzzzz localhost android skype  dfxxxxfyyyyzzzzzzzzzzzz localhost android skypefirst device fake id of course is my pc second is probably my phone third one might be a result of a corrupted temporary fileplease note that sections of id sequences marked with x y and z are identical between each localhost android skype devices only the first and third sequences are differenti changed the password  times incl skype account recovery where you have to put quite specific data whilst i another tab of the web browser where i had logged in before i was still able to manipulate the account that did not change the list of logged in devices and i didnt check if i was able to make a call to those two mobile numbersnbspthen i switched the phone completely off checked again withshowplacesand i still can see the above  devices despite there should be only one now however i can call those two numbers nowunfortunately in the end of that play i typed another comanremotelogoutwhich kills all other sessions except from this one from which such comand is executedso looks like my problem is solved for now but i still want to know what the hell happenedplease advise","joy","negative"
"218","oneyr wrotehinbspif you work for microsoft or any related entity and have any power even the slightest to influence the future changes of skype please jump straight to the last paragraph of this message marked by the letters ps thank younbspas everyone knows skype updates have recently been horrible using this software is quickly becoming infernal to the point that im actively trying to convince my friends to go on another better program thats easy to find however it is very hard to change custom so for now i have to adapt to the sad reality of microsoftnbspanyway should i accept updating from  to the last version lets add im using windows  im not sure of which is the last version of skype  i believe but im unsure if i should download it or not does it make things worse or better please fellow users of skype tell me about your experiences what modifications did you see i want to hear about the positives and the negativesnbspthank you already to everyonenbspps the many problems from which skype users currently suffer includetoo much space wasted by the user interface for example by the speech bubblestoo childish and colorful user interface notably because of the speech bubblescounterintuitive interface for example because of the inability to show the current time of the person youre talking to on the chat window itself but also for other reasonsbad performances of the application which is loading slowlier than before probably because of its uselessly heavy user interfaceinability to send symbols like   and  without typing a complicated command before theminability to permanently and easily prevent these symbols from changing the rest of the text for example to bold or italictoo invasive publicity addsforced updates of the application even when the user specificies in the options that she doesnt want any updatecurrently none of these problems can be easily and permanently adressed by the user while they mainly come from new features that should be optionalthis list is not exhaustiveplease if you have the means do everything in your power to address these problems which absolutely requires skypes developers to come back on several of their past decisionsthank you very muchnbsp","joy","negative"
"220","hi therenbspnbspthank your for your answernbspnbspthe problem is  we have nbspskype accounts likenbspnbspskype  everyday using skype manager adminskype  everyday usingnbspskype  everyday usingnbspskype  dormed account without password created by admin in corporate skype managernbspskype  dormed account without passwordnbspcreated by admin in corporate skype managernbspnbspnbspso our office manager was logged in skype manager as skype account and shenbsphasnbspaddnbspadmin permition tonbspaccount skype account without password and has delete admin permition from account skype but she forget to set up password to new admin accout  skypenbspin conclution  we have  accounts  as regular one with password but without admin permition to our skype manager and  accounts as dormed one of this dormed accounts have admin permition but have no password to accessnbspnbspwhat we can donbspnbspbrnbsppaulnbspnbspnbspnbsp","unknown","negative"
"222","hellonbspnbspi bought a skype credit gift card from paypal digital gifts and sent it to my daughter  but she never got an email  i got an email to say that i had paid for the gift card but no email to say the gift had been deliverd  my daughter checked her spam and every other part of her email but no gift card was sent i called paypal and they said that they had sent the email again and gave me a compleetly useless pin number the email again was never deliverd i phoned up paypal digital gifts again and they said that it had nothing to do with them even though i bought the gift card from them and that i needed to contact skype  in the end i opend a case in the paypal resolution center as i paid for an item that was never deliverd and my poor daughter can not get any skype credit as the gift card was never deliverd and there is no other way i can send her credit there must be a easier way for me to put credit on my daughters skype without all the hassel of trying to get a gift card sent to her as after reading a few pages on this community it seems no one can get a skype credit gift card to be deliverd or used  it would be so much easier if i could send my daughter credit direct from my skype account but this option does not existnbsp","sadness","negative"
"223","skype can freeze if something is seriously impedingnbspyour internetnbspconnectivity or if your internet connectivity is equivalent to a lag box nbsplarge delays in connectivity or networksecurityfirewall software can cause the software not to run or terminate correctly or at all nbspyou should minimize what memory resident software is running on your machine to find out what could be the root cause nbsp if skype was the root cause then none of my wirelesswired computers would be working nbspmay sure you are not running something like windows ics as that is known to create huge network delays that cause the problem you are having nbsp you are generally going to get much higher video quality out of skype which will consume more bandwidth nbspskype also utilizes simultaneousnbspconnections udptcp which can be a bigger toll on your connection as well nbspmake sure your usb devices are not overloaded as well nbsptoo many usb devices shared with your camera simultaneouslynbspwhile using skype could cause some unpredictablenbspresults nbspit would be best to isolate the camera to avoid problems that are usbbased","joy","negative"
"225","sometimes when i call a mobile phone from my windowsfirefox skype the ring ring i hear as the connection is being made is different not a ring but more like a fog horn with an echo whenever that happens the called phone doesnt seem to ring and the called phone just sees a missed call and their phone doesnt seem to actually ring with the odd ringshorns the call does not go through to voicemail the horn just ends the called phone does have voicemail so if the connection was actually made that should activate when the call isnt answered but this is not happening when i hear the odd horn instead of ringnbspother times i hear the more oldtimey ring ring and the call does connect only when i hear the old ring sound does the call get throughnbspwhat i do is try calling again and again but as long as im just getting the horn instead of ring the call never connects eventually i hear the familiar old ring and those calls are either answered or go to voice mail instead of just the horn endingnbspwhat causes thisnbspthanks in advance for your help","joy","negative"
"230","have received this message today on skypenbsp  khalid juma al majid vil gerne tilføje dig på skypehello xxxxxxxxxxi am sorry to contact you through this medium i am khalid juma al majid a senior staff and director of emirates nbd bank here in uae dubai i have in my bank  that belongs to mr omar b xxxxxxx who has same surname as yours and who has your country in his file as his place of origin the fund is now without any claim because mr omar xxxxxxxx died in a deadly earthquake on  january  in haiti which killed between  and  people therefore i am seeking your cooperation to present you as the one to benefit from his fund at his death since you have the same surnamei have done enough inside bank arrangement and will only have to put in your details into the banks database to reflect you as his next of kin i am not a greedy person so i am suggesting we share the funds equal  to both parties my share will assist me to start a charity organization to help the poor and also own a company which has been my dreamat the receipt of your reply i will give you the blue print and full details of the transaction and a copy of the deposit certificate of the fund also the incorporation certificate of the company that generated the fund let me know your mind on this and please do treat this information as top secret we shall go over the details once i receive your urgent response strictly through my personal email address email removed for privacy and securityhave a nice day and may god bless youanticipating your responsekhalid juma al majidemail removed for privacy and security ","sadness","neutral"
"232","lems wrotetechfreak wrotetry the followingnbspdownload and install the latest generic realtek audio drivers high definition audio codecs   bit windows   this can take up to  reboots to fully install the update skype completely download and run the following program to reset your skype local configuration skype and it should queue the wizard allowing you to select your audio and video deviceupdating the driver has not helped the problemnbspthe pcdust link is reported as a trojan downloader by google chrome im not going to usenbspthat until someone can confirm its safetynbspeven when forcibly bypassing chrome and visiting the site to download anyways the download is classified as malware and is thus completely blocked by chromei wrote it so i assure you its not nbspit doesnt perform anything other than what it says it does nbspits a false positive and even if i rewrite it which i plan to do when i have the time it can still be seen as untrusted nbspfalse positives occur in legitimatenbspsoftware all the time  and it becomes rather a pain to email antivirus vendors to whitelist software every time a new version is created nbsp nbspit doesnt bother me whether you use it or not nbspits for peoples convenience nbspyou can always do a more thorough reset by following this procedurenbsp will have to retrievecopy over you maindb file to restore you local skype historynbspnbsp","anger","positive"
"234","i have been having a problem ever since september when microsoft took over skype where all of a sudden for no apparent reason my status is switched from online to invisible nbspinstantly even though i have  bars on my wireless i get a resolving host signal from my browser and i am kicked off the internet nbspquitting skype does not correct it and i have to restart my computer to correct it nbspthe last few days it has been happening a lot more nbspi had to restart my computer  times beofre i could get back online and have an online status on skype nbspthis is extremely inconvenient since i work on skype and online nbspit has even happened during my radioshow which i sign into the studio with skype which is completely unacceptable because if i add my guest through skype we are both kicked off with dead air until i can restart my computer reopen skype call into the show and then add my guest back nbspnot to mention i do skype sessions with clients and during both occasions my status is set to do not disturb nbspis this a bug in the system nbspis there anyway to prevent this from happening or rectify it quickly without having to restart my computer nbspi would greatly appreciate any assistance since there is no one to call for assistance from skype to help","joy","negative"
"238","my account got blocked incorrecly and i submitted a request to have that unblocked i also did mention that to let me know were to sumbmit the details that were listed on help topicsdina at skype support just emailed the info belowmy account is blocekd in correctly with no fault on my card would want to have it unblockedon what basis they did that naming my card to be fraudlent  leaving all this asidei want to focus on the resolutionplease help in giving mme the info on how to sumbit or contact these guys to unblock itnbspnbspnbspthank you for contacting skype customer servicewe are sorry to hear that you are experiencing difficulties with your skype accountnbspunfortunately we cannot help you with this errorour records show that your transaction has been carried out with a fraudulent credit card and we have blocked further use of this account information about this transaction has been forwarded to the proper authoritiesnbspif you believe that this account has been incorrectly blocked feel free to contact usshould you need more assistance feel free to contact us againbest regardsnbspnbspdina a","sadness","neutral"
"242","im a longtime skype user and have been using skype successfully until recentlynbsp with both skype  amp  on my laptop computer win  i have to shout to be heardnbspi have no problem recording things using windows sound recorder amp audacity so i doubt my drivers are a problemnbspthis is not good and very frustratingnbsp ive adjusted my mic audio settings in skypenbspnbspi tried to install an older version of skype since another message said this worked but i dont have a full download of any older versionnbsp when i tried using a little file setup file from last year i got an error messagenbspim attaching a recent dx diagnostics filenbspplease help                                                                                                                  solved                          go to solution                                                                                                                  attachments                                                                        dxdiag zip  kb","joy","negative"
"244","the issue my internet is downthe question can someone add me to a group chat such that i can answer using my mobile without an internet connectionnbspdetailsi have  extended group calls coming up this weekend each typically  hours long with  participants totalnbspmy internet is down and the powers that be have said it will take up to a week to fix which last time they said this meant  daysthese two calls i mentioned are repeated every weeknbspwhat i am want to know is if i can arrange pay for the host to call everyone else as usual but call me on my mobile like a normal mobile call no internet no g or anything just a normal phone call but linked into the same skype call as everyone elsenbspodd request i know just trying to find a way around having to make  people delay their calls for a week cant happen without me there sadlynbspcheers                                                                                                                  solved                          go to solution","joy","negative"
"255","dear skype for immigration purposes i need access to my skype recordssince most of my calls to my husband have been from my paid skype credit to his us cell number you should be able to provide the details since i have been paying for these calls  cents per minute and cents per text of my skype credit my calls have been skype to phonenbspplease provide me with the records of where my skype credit has been spent since you automatically top up my credit every time it runs out and ive been going through about  per month in calls to my husband joshua its imperative that i retrive these records from younbspnbspalso is there any way to retrieve previous call records of skype to skypeunfortunately bad timing all around my husbands laptop broke and bestbuy gave him a replacement and my  year old laptop crashed and asus replaced the hard drive and told me it was too damgaged to mirror or copy at the same time my ipad locked due to the wrong password being used and apple had to format it so we lost all our skype recordsnow today while trying to relocate ive become aware that your systems no longer keep conversations older than  months is this true is there some sort of work aroundnbspthis is extremely important  kind regardssky simone gates and joshua gatesskysyntaxerrorreadyrun","surprise","negative"
"256","for some reason im having trouble linking my facebook account to my sype account on my kindle fire hd my sype app doesnt have an facebook login option so i though i go to sypecom on my kindle to set up so far the only problem i have is so i finally figured out my sype name and i entered that in then it asks me for my password isnt it the same password i use if i were to sign in using my email address becasuse i tried itnbspmany times and it keeps saying i entered the wrong password too many times try again later but if i sign in regularly on the web browser without trying to link my facebook account using my email address and password i sign in without any problems why isnt there an option just to use my email addressnbsp and password when i click on the login with facebook option better yet why isnt there an facebook login option on the app for kindle fire hd why advertise you can link your facebook account when it isnt even supported on an device that has the current up to date app","unknown","negative"
"261","i have been fighting with the skype customer service people for the last  days on thisnbspi got a notification on skype around  days ago on my email address saying that someone had attempted to change my email address to something else i replied back from my email address saying that it was not me who requested the change so please leave the email address unchangednbsp hours later skype has blocked me out of my own account i recently charged my account with  that i cannot use and my work is getting affected i have raised a ticket on skype srxid  where i am arguing with their customer service agents who only use typical standard responses in their replies saying that i need to fill in an activation form which i have already done  times and they say my responses are not valid enough for them to reactivate my account when i asked what exactly was wrong with my responses and the fact that i am replying from the same email address that they sent me notification in the first place they give me standard responsesnbspi have requested the case to be escalated to a senior manager which they are unable to do i have asked them to give me a support number i can call which they dont have and basically they are responding saying we cannot help you anymorenbspwhat can i do to make skypenbsprealize that they need to use common sense and that i am their paying customer and i need my account activated again","joy","negative"
"263","hinbspnbspafter update my skype is crashing nearly  seconds after login it shows the attached error messages full log attached i tried appzapper and uninstalled skype multiple timesnbspnbspprocess skype path applicationsskypeappcontentsmacosskypeidentifier comskypeskypeversion  code type x nativeparent process  responsible skype user id datetime   os version mac os x  dreport version anonymous uuid ceefecaaesleepwake uuid faeddedcaaafdtime awake since boot  secondstime since wake  secondscrashed thread exception type excbadaccess sigsegvexception codes excigpflt                                                                                                                  solved                          go to solution                                                                                                                  attachments                                                                        skypecrashcrash  kb","unknown","negative"
"265","from  sure if this is a better place to post this since as far as i know it only affects windows mobile however i think it represents a larger problem with skype when it comes to blocked accountsnbspnbspeven after blocking accounts the notifications of messages from scammersspammers still get through to my phonenbsp my phone rings and i have a notification showing their message but when i open the skype app the message is not availablenbsp so the skype app itself is working as normal but the notifications from these blocked contacts still get through to my phone which is a large annoyance because they constantly send messagesnbspit seems skype is still allowing them to send me messages it just blocks them in the apps which is a very strange system to have in placenbsp i would assume it should just reject them when they try to contact me after i have blocked them but that doesnt appear to be the casenbspnbspnbsp","anger","neutral"
"267","skype isnt out to destroy your internet connection nbspif your internet is failing while skype is in use its generally going to be due to an issue with your router or if going wireless wireless device or wireless router nbspit is rather odd that internet wouldnt work unless your skype is actively on a call but that might point to an intermittent connection like wireless that only works better with a constantnbspdata load nbspusually its the other way aroundnbspi highly suggest connecting wired to your router to see if the problem persists nbspif you can bypass your router and go directly connected then you should try that as well nbspif your router has any firmware updates apply those as well nbspyou can also try disabling upnp in your router and in skype to see if that resolves nbspyour issue nbspi have had problematic issues in the past that were solely router specific or router firmware specific nbspi have also had internal and usb wireless devices that did not function properlynbspand required either a different set of drivers a different placement in my system or a replacement of the failing hardware router or client device","joy","negative"
"269","same happened to me  hours ago i got contacted on chatroulette and then moved to skype she said she had my fbcontacts and would send the video and pasted a list of some of my actual fb friends my mistake because i use the same name on fb and skype i received a screenshot of the video being played via media player on herhis computer and been asked for € i told to wait as it was  am and i couldnt get the money ive been asked fo mobile number but refused to give it then i came here and on scamsurvivors and after getting informed on what to do i blocked and reported the skype account changed all passwords and deactivated the fb account the name was emilie curtis and the skype account emiliecurtis i think it was from morocco because the names of my friends i was sent had ajouter which means add in french beside them and as you know a lot of people in morocco speak french i have to say being without facebook is a bit hard for me as i also use it for study reasons and for organizing events how long do you think i have to wait before reactivating it of course with new username display name email details and profile pictures thank you i have to say at first i was very scared but reading all this has been helpful and being a smoker i had like  cigarettes while trying to figure out how to act","fear","negative"
"275","xinef wrotelamé wroteyou may find this article that i just found really reallynbspinteresting can provide feedback on that page i did so explained that i wanted to figure out how to avoid having the update applied and explained why lets flood them with such comments via that route different to this forumi did exactly this you are right that we probably should use different routes other than this forum to make our voices heard there are probably thousands of negative comments about the x interface in this forum but very little has been done in the last  months to address the main issues to me the two main issues with the ui are the bubbles where text is typed color alignment of the text their nonoptional presence the use of space  size of elements both in the chat and in the side panels that clearly has been designed with a touch interface in mind and brief chitchat text messagesnbspà la whatsapp on a smartphone but is unsuitable to any other use professional students university gamersroleplays storyteller long chat sessionsall the tweaks the skype team have madenbspclaimingnbsppretending they were addressing the complaints from the users were just that tweaks they did not take on the real issuesnbspat this point after this quite long time and after    and now  iterationsnbspthis clearly represents a developmentstrategic choice of the skype team therefore it is probably worth to try to spread the dissatisfaction feedbacks to other microsoft divisions i am not optimistic about this but maybe this can escalate the problem to higher levels","unknown","negative"
